Unnamed: 0,frequency,identity,letter,letter_index
0,7.38,Ransom,A,1
1,1.09,Ransom,B,2
2,2.46,Ransom,C,3
3,4.1,Ransom,D,4
4,12.84,Ransom,E,5
5,1.37,Ransom,F,6
6,1.09,Ransom,G,7
7,3.55,Ransom,H,8
8,7.65,Ransom,I,9
9,0.0,Ransom,J,10
10,3.01,Ransom,K,11
11,3.28,Ransom,L,12
12,2.46,Ransom,M,13
13,7.38,Ransom,N,14
14,6.83,Ransom,O,15
15,7.65,Ransom,P,16
16,0.0,Ransom,Q,17
17,4.92,Ransom,R,18
18,4.1,Ransom,S,19
19,6.28,Ransom,T,20
20,4.37,Ransom,U,21
21,1.09,Ransom,V,22
22,2.46,Ransom,W,23
23,0.0,Ransom,X,24
24,4.64,Ransom,Y,25
25,0.0,Ransom,Z,26
